word,value
faced,-1
faces,-1
abnormal,-1
abolish,-1
abominable,-1
abominably,-1
abominate,-1
abomination,-1
abort,-1
aborted,-1
aborts,-1
abrade,-1
abrasive,-1
abrupt,-1
abruptly,-1
abscond,-1
absence,-1
absent-minded,-1
absentee,-1
absurd,-1
absurdity,-1
absurdly,-1
absurdness,-1
abuse,-1
abused,-1
abuses,-1
abusive,-1
abysmal,-1
abysmally,-1
abyss,-1
accidental,-1
accost,-1
accursed,-1
accusation,-1
accusations,-1
accuse,-1
accuses,-1
accusing,-1
accusingly,-1
acerbate,-1
acerbic,-1
acerbically,-1
ache,-1
ached,-1
aches,-1
achey,-1
aching,-1
acrid,-1
acridly,-1
acridness,-1
acrimonious,-1
acrimoniously,-1
acrimony,-1
adamant,-1
adamantly,-1
addict,-1
addicted,-1
addicting,-1
addicts,-1
admonish,-1
admonisher,-1
admonishingly,-1
admonishment,-1
admonition,-1
adulterate,-1
adulterated,-1
adulteration,-1
adulterier,-1
adversarial,-1
adversary,-1
adverse,-1
adversity,-1
afflict,-1
affliction,-1
afflictive,-1
affront,-1
afraid,-1
aggravate,-1
aggravating,-1
aggravation,-1
aggression,-1
aggressive,-1
aggressiveness,-1
aggressor,-1
aggrieve,-1
aggrieved,-1
aggrivation,-1
aghast,-1
agonies,-1
agonize,-1
agonizing,-1
agonizingly,-1
agony,-1
aground,-1
ail,-1
ailing,-1
ailment,-1
aimless,-1
alarm,-1
alarmed,-1
alarming,-1
alarmingly,-1
alienate,-1
alienated,-1
alienation,-1
allegation,-1
allegations,-1
allege,-1
allergic,-1
allergies,-1
allergy,-1
aloof,-1
altercation,-1
ambiguity,-1
ambiguous,-1
ambivalence,-1
ambivalent,-1
ambush,-1
amiss,-1
amputate,-1
anarchism,-1
anarchist,-1
anarchistic,-1
anarchy,-1
anemic,-1
anger,-1
angrily,-1
angriness,-1
angry,-1
anguish,-1
animosity,-1
annihilate,-1
annihilation,-1
annoy,-1
annoyance,-1
annoyances,-1
annoyed,-1
annoying,-1
annoyingly,-1
annoys,-1
anomalous,-1
anomaly,-1
antagonism,-1
antagonist,-1
antagonistic,-1
antagonize,-1
anti-,-1
anti-american,-1
anti-israeli,-1
anti-occupation,-1
anti-proliferation,-1
anti-semites,-1
anti-social,-1
anti-us,-1
anti-white,-1
antipathy,-1
antiquated,-1
antithetical,-1
anxieties,-1
anxiety,-1
anxious,-1
anxiously,-1
anxiousness,-1
apathetic,-1
apathetically,-1
apathy,-1
apocalypse,-1
apocalyptic,-1
apologist,-1
apologists,-1
appal,-1
appall,-1
appalled,-1
appalling,-1
appallingly,-1
apprehension,-1
apprehensions,-1
apprehensive,-1
apprehensively,-1
arbitrary,-1
arcane,-1
archaic,-1
arduous,-1
arduously,-1
argumentative,-1
arrogance,-1
arrogant,-1
arrogantly,-1
ashamed,-1
asinine,-1
asininely,-1
asinininity,-1
askance,-1
asperse,-1
aspersion,-1
aspersions,-1
assail,-1
assassin,-1
assassinate,-1
assault,-1
assult,-1
astray,-1
asunder,-1
atrocious,-1
atrocities,-1
atrocity,-1
atrophy,-1
attack,-1
attacks,-1
audacious,-1
audaciously,-1
audaciousness,-1
audacity,-1
audiciously,-1
austere,-1
authoritarian,-1
autocrat,-1
autocratic,-1
avalanche,-1
avarice,-1
avaricious,-1
avariciously,-1
avenge,-1
averse,-1
aversion,-1
aweful,-1
awful,-1
awfully,-1
awfulness,-1
awkward,-1
awkwardness,-1
ax,-1
babble,-1
back-logged,-1
back-wood,-1
back-woods,-1
backache,-1
backaches,-1
backaching,-1
backbite,-1
backbiting,-1
backward,-1
backwardness,-1
backwood,-1
backwoods,-1
bad,-1
badly,-1
baffle,-1
baffled,-1
bafflement,-1
baffling,-1
bait,-1
balk,-1
banal,-1
banalize,-1
bane,-1
banish,-1
banishment,-1
bankrupt,-1
barbarian,-1
barbaric,-1
barbarically,-1
barbarity,-1
barbarous,-1
barbarously,-1
barren,-1
baseless,-1
bash,-1
bashed,-1
bashful,-1
bashing,-1
bastard,-1
bastards,-1
battered,-1
battering,-1
batty,-1
bearish,-1
beastly,-1
bedlam,-1
bedlamite,-1
befoul,-1
beg,-1
beggar,-1
beggarly,-1
begging,-1
beguile,-1
belabor,-1
belated,-1
beleaguer,-1
belie,-1
belittle,-1
belittled,-1
belittling,-1
bellicose,-1
belligerence,-1
belligerent,-1
belligerently,-1
bemoan,-1
bemoaning,-1
bemused,-1
bent,-1
berate,-1
bereave,-1
bereavement,-1
bereft,-1
berserk,-1
beseech,-1
beset,-1
besiege,-1
besmirch,-1
bestial,-1
betray,-1
betrayal,-1
betrayals,-1
betrayer,-1
betraying,-1
betrays,-1
bewail,-1
beware,-1
bewilder,-1
bewildered,-1
bewildering,-1
bewilderingly,-1
bewilderment,-1
bewitch,-1
bias,-1
biased,-1
biases,-1
bicker,-1
bickering,-1
bid-rigging,-1
bigotries,-1
bigotry,-1
bitch,-1
bitchy,-1
biting,-1
bitingly,-1
bitter,-1
bitterly,-1
bitterness,-1
bizarre,-1
blab,-1
blabber,-1
blackmail,-1
blah,-1
blame,-1
blameworthy,-1
bland,-1
blandish,-1
blaspheme,-1
blasphemous,-1
blasphemy,-1
blasted,-1
blatant,-1
blatantly,-1
blather,-1
bleak,-1
bleakly,-1
bleakness,-1
bleed,-1
bleeding,-1
bleeds,-1
blemish,-1
blind,-1
blinding,-1
blindingly,-1
blindside,-1
blister,-1
blistering,-1
bloated,-1
blockage,-1
blockhead,-1
bloodshed,-1
bloodthirsty,-1
bloody,-1
blotchy,-1
blow,-1
blunder,-1
blundering,-1
blunders,-1
blunt,-1
blur,-1
bluring,-1
blurred,-1
blurring,-1
blurry,-1
blurs,-1
blurt,-1
boastful,-1
boggle,-1
bogus,-1
boil,-1
boiling,-1
boisterous,-1
bomb,-1
bombard,-1
bombardment,-1
bombastic,-1
bondage,-1
bonkers,-1
bore,-1
bored,-1
boredom,-1
bores,-1
boring,-1
botch,-1
bother,-1
bothered,-1
bothering,-1
bothers,-1
bothersome,-1
bowdlerize,-1
boycott,-1
braggart,-1
bragger,-1
brainless,-1
brainwash,-1
brash,-1
brashly,-1
brashness,-1
brat,-1
bravado,-1
brazen,-1
brazenly,-1
brazenness,-1
breach,-1
break,-1
break-up,-1
break-ups,-1
breakdown,-1
breaking,-1
breaks,-1
breakup,-1
breakups,-1
bribery,-1
brimstone,-1
bristle,-1
brittle,-1
broke,-1
broken,-1
broken-hearted,-1
brood,-1
browbeat,-1
bruise,-1
bruised,-1
bruises,-1
bruising,-1
brusque,-1
brutal,-1
brutalising,-1
brutalities,-1
brutality,-1
brutalize,-1
brutalizing,-1
brutally,-1
brute,-1
brutish,-1
bs,-1
buckle,-1
bug,-1
bugging,-1
buggy,-1
bugs,-1
bulkier,-1
bulkiness,-1
bulky,-1
bulkyness,-1
bull****,-1
bull----,-1
bullies,-1
bullshit,-1
bullshyt,-1
bully,-1
bullying,-1
bullyingly,-1
bum,-1
bump,-1
bumped,-1
bumping,-1
bumpping,-1
bumps,-1
bumpy,-1
bungle,-1
bungler,-1
bungling,-1
bunk,-1
burden,-1
burdensome,-1
burdensomely,-1
burn,-1
burned,-1
burning,-1
burns,-1
bust,-1
busts,-1
busybody,-1
butcher,-1
butchery,-1
buzzing,-1
byzantine,-1
cackle,-1
calamities,-1
calamitous,-1
calamitously,-1
calamity,-1
callous,-1
calumniate,-1
calumniation,-1
calumnies,-1
calumnious,-1
calumniously,-1
calumny,-1
cancer,-1
cancerous,-1
cannibal,-1
cannibalize,-1
capitulate,-1
capricious,-1
capriciously,-1
capriciousness,-1
capsize,-1
careless,-1
carelessness,-1
caricature,-1
carnage,-1
carp,-1
cartoonish,-1
cash-strapped,-1
castigate,-1
castrated,-1
casualty,-1
cataclysm,-1
cataclysmal,-1
cataclysmic,-1
cataclysmically,-1
catastrophe,-1
catastrophes,-1
catastrophic,-1
catastrophically,-1
catastrophies,-1
caustic,-1
caustically,-1
cautionary,-1
cave,-1
censure,-1
chafe,-1
chaff,-1
chagrin,-1
challenging,-1
chaos,-1
chaotic,-1
chasten,-1
chastise,-1
chastisement,-1
chatter,-1
chatterbox,-1
cheap,-1
cheapen,-1
cheaply,-1
cheat,-1
cheated,-1
cheater,-1
cheating,-1
cheats,-1
checkered,-1
cheerless,-1
cheesy,-1
chide,-1
childish,-1
chill,-1
chilly,-1
chintzy,-1
choke,-1
choleric,-1
choppy,-1
chore,-1
chronic,-1
chunky,-1
clamor,-1
clamorous,-1
clash,-1
cliche,-1
cliched,-1
clique,-1
clog,-1
clogged,-1
clogs,-1
cloud,-1
clouding,-1
cloudy,-1
clueless,-1
clumsy,-1
clunky,-1
coarse,-1
cocky,-1
coerce,-1
coercion,-1
coercive,-1
cold,-1
coldly,-1
collapse,-1
collude,-1
collusion,-1
combative,-1
combust,-1
comical,-1
commiserate,-1
commonplace,-1
commotion,-1
commotions,-1
complacent,-1
complain,-1
complained,-1
complaining,-1
complains,-1
complaint,-1
complaints,-1
complex,-1
complicated,-1
complication,-1
complicit,-1
compulsion,-1
compulsive,-1
concede,-1
conceded,-1
conceit,-1
conceited,-1
concen,-1
concens,-1
concern,-1
concerned,-1
concerns,-1
concession,-1
concessions,-1
condemn,-1
condemnable,-1
condemnation,-1
condemned,-1
condemns,-1
condescend,-1
condescending,-1
condescendingly,-1
condescension,-1
confess,-1
confession,-1
confessions,-1
confined,-1
conflict,-1
conflicted,-1
conflicting,-1
conflicts,-1
confound,-1
confounded,-1
confounding,-1
confront,-1
confrontation,-1
confrontational,-1
confuse,-1
confused,-1
confuses,-1
confusing,-1
confusion,-1
confusions,-1
congested,-1
congestion,-1
cons,-1
conscons,-1
conservative,-1
conspicuous,-1
conspicuously,-1
conspiracies,-1
conspiracy,-1
conspirator,-1
conspiratorial,-1
conspire,-1
consternation,-1
contagious,-1
contaminate,-1
contaminated,-1
contaminates,-1
contaminating,-1
contamination,-1
contempt,-1
contemptible,-1
contemptuous,-1
contemptuously,-1
contend,-1
contention,-1
contentious,-1
contort,-1
contortions,-1
contradict,-1
contradiction,-1
contradictory,-1
contrariness,-1
contravene,-1
contrive,-1
contrived,-1
controversial,-1
controversy,-1
convoluted,-1
corrode,-1
corrosion,-1
corrosions,-1
corrosive,-1
corrupt,-1
corrupted,-1
corrupting,-1
corruption,-1
corrupts,-1
corruptted,-1
costlier,-1
costly,-1
counter-productive,-1
counterproductive,-1
coupists,-1
covetous,-1
coward,-1
cowardly,-1
crabby,-1
crack,-1
cracked,-1
cracks,-1
craftily,-1
craftly,-1
crafty,-1
cramp,-1
cramped,-1
cramping,-1
cranky,-1
crap,-1
crappy,-1
craps,-1
crash,-1
crashed,-1
crashes,-1
crashing,-1
crass,-1
craven,-1
cravenly,-1
craze,-1
crazily,-1
craziness,-1
crazy,-1
creak,-1
creaking,-1
creaks,-1
credulous,-1
creep,-1
creeping,-1
creeps,-1
creepy,-1
crept,-1
crime,-1
criminal,-1
cringe,-1
cringed,-1
cringes,-1
cripple,-1
crippled,-1
cripples,-1
crippling,-1
crisis,-1
critic,-1
critical,-1
criticism,-1
criticisms,-1
criticize,-1
criticized,-1
criticizing,-1
critics,-1
cronyism,-1
crook,-1
crooked,-1
crooks,-1
crowded,-1
crowdedness,-1
crude,-1
cruel,-1
crueler,-1
cruelest,-1
cruelly,-1
cruelness,-1
cruelties,-1
cruelty,-1
crumble,-1
crumbling,-1
crummy,-1
crumple,-1
crumpled,-1
crumples,-1
crush,-1
crushed,-1
crushing,-1
cry,-1
culpable,-1
culprit,-1
cumbersome,-1
cunt,-1
cunts,-1
cuplrit,-1
curse,-1
cursed,-1
curses,-1
curt,-1
cuss,-1
cussed,-1
cutthroat,-1
cynical,-1
cynicism,-1
d*mn,-1
damage,-1
damaged,-1
damages,-1
damaging,-1
damn,-1
damnable,-1
damnably,-1
damnation,-1
damned,-1
damning,-1
damper,-1
danger,-1
dangerous,-1
dangerousness,-1
dark,-1
darken,-1
darkened,-1
darker,-1
darkness,-1
dastard,-1
dastardly,-1
daunt,-1
daunting,-1
dauntingly,-1
dawdle,-1
daze,-1
dazed,-1
dead,-1
deadbeat,-1
deadlock,-1
deadly,-1
deadweight,-1
deaf,-1
dearth,-1
death,-1
debacle,-1
debase,-1
debasement,-1
debaser,-1
debatable,-1
debauch,-1
debaucher,-1
debauchery,-1
debilitate,-1
debilitating,-1
debility,-1
debt,-1
debts,-1
decadence,-1
decadent,-1
decay,-1
decayed,-1
deceit,-1
deceitful,-1
deceitfully,-1
deceitfulness,-1
deceive,-1
deceiver,-1
deceivers,-1
deceiving,-1
deception,-1
deceptive,-1
deceptively,-1
declaim,-1
decline,-1
declines,-1
declining,-1
decrement,-1
decrepit,-1
decrepitude,-1
decry,-1
defamation,-1
defamations,-1
defamatory,-1
defame,-1
defect,-1
defective,-1
defects,-1
defensive,-1
defiance,-1
defiant,-1
defiantly,-1
deficiencies,-1
deficiency,-1
deficient,-1
defile,-1
defiler,-1
deform,-1
deformed,-1
defrauding,-1
defunct,-1
defy,-1
degenerate,-1
degenerately,-1
degeneration,-1
degradation,-1
degrade,-1
degrading,-1
degradingly,-1
dehumanization,-1
dehumanize,-1
deign,-1
deject,-1
dejected,-1
dejectedly,-1
dejection,-1
delay,-1
delayed,-1
delaying,-1
delays,-1
delinquency,-1
delinquent,-1
delirious,-1
delirium,-1
delude,-1
deluded,-1
deluge,-1
delusion,-1
delusional,-1
delusions,-1
demean,-1
demeaning,-1
demise,-1
demolish,-1
demolisher,-1
demon,-1
demonic,-1
demonize,-1
demonized,-1
demonizes,-1
demonizing,-1
demoralize,-1
demoralizing,-1
demoralizingly,-1
denial,-1
denied,-1
denies,-1
denigrate,-1
denounce,-1
dense,-1
dent,-1
dented,-1
dents,-1
denunciate,-1
denunciation,-1
denunciations,-1
deny,-1
denying,-1
deplete,-1
deplorable,-1
deplorably,-1
deplore,-1
deploring,-1
deploringly,-1
deprave,-1
depraved,-1
depravedly,-1
deprecate,-1
depress,-1
depressed,-1
depressing,-1
depressingly,-1
depression,-1
depressions,-1
deprive,-1
deprived,-1
deride,-1
derision,-1
derisive,-1
derisively,-1
derisiveness,-1
derogatory,-1
desecrate,-1
desert,-1
desertion,-1
desiccate,-1
desiccated,-1
desititute,-1
desolate,-1
desolately,-1
desolation,-1
despair,-1
despairing,-1
despairingly,-1
desperate,-1
desperately,-1
desperation,-1
despicable,-1
despicably,-1
despise,-1
despised,-1
despoil,-1
despoiler,-1
despondence,-1
despondency,-1
despondent,-1
despondently,-1
despot,-1
despotic,-1
despotism,-1
destabilisation,-1
destains,-1
destitute,-1
destitution,-1
destroy,-1
destroyer,-1
destruction,-1
destructive,-1
desultory,-1
deter,-1
deteriorate,-1
deteriorating,-1
deterioration,-1
deterrent,-1
detest,-1
detestable,-1
detestably,-1
detested,-1
detesting,-1
detests,-1
detract,-1
detracted,-1
detracting,-1
detraction,-1
detracts,-1
detriment,-1
detrimental,-1
devastate,-1
devastated,-1
devastates,-1
devastating,-1
devastatingly,-1
devastation,-1
deviate,-1
deviation,-1
devil,-1
devilish,-1
devilishly,-1
devilment,-1
devilry,-1
devious,-1
deviously,-1
deviousness,-1
devoid,-1
diabolic,-1
diabolical,-1
diabolically,-1
diametrically,-1
diappointed,-1
diatribe,-1
diatribes,-1
dick,-1
dictator,-1
dictatorial,-1
die,-1
die-hard,-1
died,-1
dies,-1
difficult,-1
difficulties,-1
difficulty,-1
diffidence,-1
dilapidated,-1
dilemma,-1
dilly-dally,-1
dim,-1
dimmer,-1
din,-1
ding,-1
dings,-1
dinky,-1
dire,-1
direly,-1
direness,-1
dirt,-1
dirtbag,-1
dirtbags,-1
dirts,-1
dirty,-1
disable,-1
disabled,-1
disaccord,-1
disadvantage,-1
disadvantaged,-1
disadvantageous,-1
disadvantages,-1
disaffect,-1
disaffected,-1
disaffirm,-1
disagree,-1
disagreeable,-1
disagreeably,-1
disagreed,-1
disagreeing,-1
disagreement,-1
disagrees,-1
disallow,-1
disapointed,-1
disapointing,-1
disapointment,-1
disappoint,-1
disappointed,-1
disappointing,-1
disappointingly,-1
disappointment,-1
disappointments,-1
disappoints,-1
disapprobation,-1
disapproval,-1
disapprove,-1
disapproving,-1
disarm,-1
disarray,-1
disaster,-1
disasterous,-1
disastrous,-1
disastrously,-1
disavow,-1
disavowal,-1
disbelief,-1
disbelieve,-1
disbeliever,-1
disclaim,-1
discombobulate,-1
discomfit,-1
discomfititure,-1
discomfort,-1
discompose,-1
disconcert,-1
disconcerted,-1
disconcerting,-1
disconcertingly,-1
disconsolate,-1
disconsolately,-1
disconsolation,-1
discontent,-1
